Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.4078529129857604,8.916849015317286,2.4030500411987306,7.675438596491228
2,2.4006462470344876,8.725382932166301,2.4016461531321207,7.2368421052631575
3,2.3970462177110754,9.24507658643326,2.3983935991923016,9.210526315789474
4,2.3941425696663234,9.956236323851204,2.3986721992492677,9.210526315789474
5,2.399802462950997,8.971553610503282,2.3991682052612306,9.210526315789474
6,2.3985255780427353,8.533916849015318,2.399380016326904,7.017543859649122
7,2.3979728968247125,8.780087527352297,2.3998518149058023,7.017543859649122
8,2.3980833592622175,9.956236323851204,2.4001879692077637,9.210526315789474
9,2.398444254502006,9.463894967177243,2.3997812906901044,7.017543859649122
10,2.3983830161716626,8.397155361050329,2.3999990304311116,7.017543859649122
